User_ID	Retweet_Frequency
2535166748	50
67838582	376
1434170370	719
32204450	165
52088179	57
2804805906	18
2401758754	725
2574586915	1433
1966460718	85
1250830579	1
1691352906	804
289342771	16
3121451871	87
169497855	2
970728236	495
49947565	1271
2742078001	2136
2268233144	1124
3259934997	115
21242484	99
451358894	8
497264418	1
87272785	2
3043110261	1
1264223196	10
352126117	28
179732982	288
126438577	291
2501427505	275
1883354443	14
181731262	63
2256210373	672
2455275544	731
2785169408	100
2549966192	1
3390318262	136
2980282599	388
2167674121	810
298629655	181
4224729994	1850
410076442	293
92939766	329
96131788	1
183213553	11
255471924	54
12337962	3
30211297	1
166679681	652
3105120057	2377
4893573474	83
337741836	73
1027734648	315
2329396765	112
15976697	201
35403128	877
25961873	6
34262462	286
140856563	656
2819098120	328
426450281	1425
32708099	11
18291150	276
47554436	21
15312872	338
2828731642	95
515798800	5
1059907795	6
4691189473	209
1868981054	57
564320420	5
14752306	22
3234545616	11
173435768	9
2250533893	1225
24216951	56
26792275	81
168041854	461
28785486	426
4776003900	5
245956466	7
173904681	177
23933764	2
473842563	552
411390464	10
3764479514	57
2179624261	2
2414716935	1205
2260667730	1292
107543451	24
2787244860	81
2785982910	71
2787060763	72
2323044042	275
110773874	7
1235496025	20
2992329767	1
522052782	7
14159148	120
36621873	1
459766233	742
2417616825	1204
1404087277	5
122455671	81
230859523	20
33529092	406
166990746	20
234642014	11
231405825	11
1345110602	3
175736280	2
773574350	185
175224916	718
280673445	6
2422681625	340
16492765	166
262323041	34
3302447591	10
22657914	31
64748159	2
2464776119	134
448993473	4
176118358	12
21071631	65
88204158	3437
370471689	32
743057700	469
448418249	21
703043458	117
2812086728	4
1284146412	1151
1629935497	1425
495304778	1067
30257834	112
633292225	223
759910548389539840	2
317147065	629
444639688	797
2398645384	1305
898097870	1544
2243639683	560
144192028	4
2432922893	419
2370551975	157
838746491736973312	8
707281695846739968	110
2787051931	109
2417283285	625
2187915878	49
71516564	113
2190416905	70
65442728	1940
3956162353	61
988279338	4
2217501764	403
143049996	760
2413222785	777
2257758241	1524
2753146444	796
2827148094	4
315083853	3
2687277211	887
2233551757	111
18843752	2
20178452	16
62098025	46
772081711	662
20665525	34
720093930906349568	2
2545830834	5
109813602	5
411133982	18
2428308689	478
500218931	405
762033116	900
54837923	439
2790107396	112
449615858	768
53297881	281
2254749116	541
2433783826	1265
2251046671	538
82299300	1869
2253648366	772
2179312662	758
233270958	123
130496027	83
249429217	1
85035848	10
782593017383383040	41
273021371	11
739214344324448128	5
61567598	9
25709412	25
931286316	819
740882012	4
246184593	4
2646938774	329
22308317	461
2344571893	206
2801920964	3
2415699341	1276
1145902908	284
2896447227	60
20536910	1614
2412808899	1270
1705506013	257
2592716591	375
2686463101	2
4148586741	80
706959926879334400	853
279270332	1
2259007339	60
2827528067	1959
2260922960	562
1535550055	1
46822887	332
1716581	232
3018735995	79
732980827	803
207814323	5
4903848977	17
812079905429225472	187
1654258802	143
156093276	139
855193250	34
391740160	5
23286695	5
3350114513	25
30354991	78
95097958	22
20905367	898
2589115905	1
1264355060	1
2349687856	41
2393277847	1
2821579991	1
2195970781	1249
2430965344	1053
2235930822	1498
1664988493	108
4218490725	83
1486878667	18
16012783	487
239509917	644
2249480526	656
2514864173	604
1712368314	865
426578718	12
15407632	26
5820642	229
800543845570092928	5
526840612	62
39294154	29
4704517829	2
1713086209	36
2597721258	1407
848110183	6
704683110	97
53210455	23
709095031064424448	3
450404267	6
