User_ID	Reply Frequency	Retweet Frequency	Mention Frequency
411246576	4	4	24
388122292	1	2	3
13854472	1	1	6
2240756971	1	5	16
2544871151	1	2	3
457343588	1	1	2
2491702663	1	1	4
38395124	2	13	17
1603857523	3	3	11
2547571536	3	2	5
7040692	1	2	5
851004950	1	2	4
104459389	2	7	13
129235890	12	669	1017
2459590993	12	12	26
32774989	1	4	5
194318047	59	1	53
161188178	2	2	11
91756284	1	46	47
21041737	1	3	4
301398812	1	1	2
1651905098	1	51	54
3056433065	5	13	19
234343491	4	64	75
187893930	4	9	14
15685838	2	2	6
2478422743	3	7	12
2800409779	3	1	6
540896699	4	1	8
711188856943411200	1	2	12
109034782	1	13	63
455003432	4	2	12
69032114	1	2	6
2534428009	425	42	467
520415846	1	10	11
19552528	2	8	12
1504651201	1	2	3
75751947	82	9	143
3980190357	1	1	2
3073484585	1	1	2
163060799	6	491	499
234548424	1	21	30
2347804154	1	5	7
77002400	1	7	8
2477028826	1	1	2
3239239162	3	18	31
3346789361	1	1	5
26305364	1	1	2
4240150034	1	3	7
2899683825	5	1	10
20987538	1	48	49
30693810	2	8	12
3452894301	1	9	10
81820345	4	6	10
558611659	2	2	12
601237742	49	19	78
2345310302	3	2	13
3431976407	2	10	12
4692429990	1	3	4
1611132498	2	1	4
549935078	1	1	2
885266899029962752	1	1	2
22669526	1	13	21
2894032402	2	14	26
2750309806	2	6	12
757959396647370752	1	1	5
2219989927	13	20	35
1529457523	1	1	2
95270375	3	5	8
1592061668	1	4	12
20393459	1	1	2
701821488	1	5	9
127111907	1	5	7
3166623503	1	31	107
1280456546	5	19	24
2843740846	4	1	5
242836537	3	1	8
3579310576	2	2	4
1660948069	1	16	17
2323227352	4	1	5
106424760	1	1	1
2170135694	2	25	27
485457778	2	4	8
19985444	1	100	131
1235496025	1	20	21
14945261	2	16	42
3393202101	1	2	3
2950631439	1	3	4
861201883	3	5	7
20609518	1	2	9
793272134	1	3	4
989429790	1	1	2
178042590	1	3	4
873832362	2	1	3
227571869	1	2	11
860656230	1	1	8
316858843	1	1	2
1291770157	40	851	1079
567010052	7	6	36
22552016	2	3	5
1387190622	3	2	9
68476316	1	1	2
3390061349	1	7	13
2620323673	1	2	3
1058415276	1	28	35
2790825277	360	115	475
256027241	1	1	3
3873255299	2	6	8
3026596475	1	3	6
354814180	1	1	2
547002258	5	386	437
59331128	4	22	35
33930479	1	4	9
4715939013	1	2	3
997573712	68	42	114
2509882094	393	30	424
369583954	2	36	112
1534664744	7	4	11
812079905429225472	1	187	209
355574901	23	1	19
443209107	2	3	5
2243224576	107	36	197
487922925	1	1	3
307329180	8	2	10
250836563	5	4	9
4075000398	24	9	54
2566535282	46	52	114
312577640	1	1	2
274137533	1	1	2
3482577855	1	1	8
22703645	30	172	777
600463589	25	1	24
30231573	2	21	24
2412329471	8	15	32
420332898	1	7	8
492350976	5	18	39
1698103272	1	1	2
306389855	1	5	6
294420427	3	1	14
558600361	1	4	5
1076624760	1	1	2
835994475495305216	2	2	4
2826435781	4	2	8
1128766405	1	2	5
25566649	2	1	6
2303431412	1	12	16
2775492818	2	1	3
159077334	2	4	8
1703923016	1	3	4
819770024	1	1	2
90647948	3	6	17
1670953964	1	1	2
25429371	7	93	234
403538003	1	248	320
16743886	1	5	6
28429455	1	1	2
588481197	2	1	3
14387275	1	102	103
223768953	1	4	5
602770068	1	1	2
2809413817	5	3	9
311137675	2	15	21
162276142	1	5	8
107556834	2	6	8
1105643360	10	4	15
63001553	2	2	5
1222716350	1	5	6
757078971590651904	4	15	19
330050925	1	1	2
491719838	1	27	57
937756423	3	2	9
3041589551	2	27	30
318942083	6	1	8
394216985	1	4	13
170625577	1	2	4
